city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,"01.04.2020",
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""01.04.2020"," 16 Uhr""", 455, 4, 9,, 73,,, 1, 1, 1, 3, 3, 3, 3, 5, 6, 7, 16, 23, 36, 36, 97, 97, 154, 187, 189, 189, 205, 280, 261, 290, 317, 319,359, 363, 410," 455"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""01.04.2020"," 16 Uhr""", 210, 1, 6,, 65,,,,,,,,,,, 1, 1, 3, 3, 14, 17, 17, 32, 38, 45, 45, 52, 76, 76, 91, 99, 108, 108,159, 175, 192," 210"
Essen,51.468739,7.019603,05113,583109,"""01.04.2020"," 16 Uhr""", 420, 7, 12,, 72, 1, 1, 1, 2, 5, 5, 6, 6, 6, 5, 9, 12, 20, 34, 52, 80, 89, 115, 154, 164, 164, 218, 228, 254, 266, 292, 349, 360,360, 399, 414," 420"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""01.04.2020"," 16 Uhr""", 133, 2, 6,, 69,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 12, 12, 19, 26, 42, 45, 51, 53, 61, 61, 64, 95, 101,105, 120, 126," 133"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""01.04.2020"," 16 Uhr""", 119, 1, 7,, 46,,,,, 3, 3, 3, 3, 3, 4, 4, 4, 7, 9, 12, 13, 18, 21, 36, 38, 41, 41, 47, 52, 55, 62, 73, 81,91, 94, 107," 119"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""01.04.2020"," 16 Uhr""", 401, 1, 11,, 110,,,,, 1, 1,,,,, 5, 15, 15, 15, 45, 71, 80, 91, 100, 169, 179, 202, 224, 254, 254, 315, 335, 335,356, 372, 387," 401"
Hagen,51.371236,7.487553,05914,188814,"""01.04.2020"," 16 Uhr""", 82, 2, 10,, 43,,,,,,,,, 1, 1, 3, 3, 3, 5, 5, 6, 8, 11, 22, 31, 31, 37, 43, 50, 55, 55, 55, 62,62, 80, 80," 82"
Hamm,51.674274,7.821892,05915,179111,"""01.04.2020"," 16 Uhr""", 171, 2, 9,, 95,,,,,,,,,,,,, 2, 4, 4, 4, 8, 16, 26, 49, 54, 62, 85, 90, 94, 109, 117, 131,146, 153, 157," 171"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""01.04.2020"," 16 Uhr""", 1331, 39, 17, 157, 523, 65, 65, 78, 87, 197, 214, 214, 277, 292, 365, 403, 483, 558, 589, 650, 690, 760, 811, 845, 916, 916, 964, 1004, 1043, 1056, 1124, 1166, 1202,1246, 1265, 1266," 1331"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""01.04.2020"," 16 Uhr""", 176, 1, 11,, 70,,,,,, 2, 2, 2, 2, 2, 4, 5, 9, 19, 22, 26, 26, 52, 52, 84, 85, 97, 99, 104, 117, 122, 133, 138,143, 148, 152," 176"
Herne,51.540584,7.20971,05916,156374,"""01.04.2020"," 16 Uhr""", 58,, 8,, 37,,,,,,,,,,, 2, 4, 4, 4, 5, 8, 8, 7, 13, 13, 16, 23, 23, 27, 27, 41, 42, 45,51, 55, 57," 58"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,"""01.04.2020"," 16 Uhr""", 286, 1, 9,, 110,,,,,,,,,, 1, 1, 6, 14, 20, 30, 31, 37, 80, 82, 99, 103, 116, 131, 149, 160, 183, 206, 213,231, 244, 253," 286"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,"""01.04.2020"," 16 Uhr""", 71,, 6,, 50,,,,,,,,,,,,,,,, 2, 4, 7, 7, 16, 16, 20, 21, 22, 33, 39, 54, 54,63, 66, 71," 71"
Kreis Kleve,51.7794,6.126757,05154,310974,"""01.04.2020"," 16 Uhr""", 242, 2, 11,, 78,,,,,,,,,, 1, 2, 4, 10, 14, 32, 36, 66, 66, 74, 89, 109, 109, 109, 126, 150, 166, 211, 211,233, 233, 237," 242"
KÃ¶ln,50.94718,6.934628,05315,1085664,"""01.04.2020"," 16 Uhr""", 1405, 15, 10, 11, 129, 5, 5, 6, 7, 12, 18, 20, 30, 30, 33, 43, 63, 83, 83, 129, 274, 274, 430, 430, 629, 629, 688, 809, 880, 880, 980, 1017, 1116,1212, 1290, 1343," 1405"
Krefeld,51.337869,6.585484,05114,227020,"""01.04.2020"," 16 Uhr""", 225, 1, 7,, 99,,,,,,,,,,,, 2, 10, 10, 10, 19, 36, 53, 53, 71, 71, 71, 92, 97, 110, 138, 147, 185,185, 208, 211," 225"
Leverkusen,51.048254,7.029976,05316,163838,"""01.04.2020"," 16 Uhr""", 127,, 8,, 78,,,,,,,,,,, 2, 3, 5, 5, 9, 20, 21, 31, 33, 40, 45, 48, 48, 58, 65, 74, 82, 88,102, 102, 113," 127"
Kreis Lippe,51.9759031,8.9865279,05766,348391,"""01.04.2020"," 16 Uhr""", 347, 3, 9,, 100,,,,, 1, 1, 1, 1, 3, 11, 19, 21, 36, 37, 37, 56, 56, 107, 107, 133, 133, 138, 170, 188, 204, 230, 261, 261,279, 302, 325," 347"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,"""01.04.2020"," 16 Uhr""", 146, 1, 6,, 35, 1,, 1, 1, 3, 5, 5, 5, 5, 6, 7, 10, 13, 13, 13, 17, 21, 27, 34, 36, 38, 38, 47, 47, 54, 73, 81, 89,100, 115, 127," 146"
Kreis Mettmann,51.252811,6.970846,05158,485684,"""01.04.2020"," 16 Uhr""", 379, 6, 9,, 78,,,, 1, 1, 2, 2, 6, 6, 8, 11, 16, 19, 19, 19, 19, 44, 63, 87, 104, 113, 113, 173, 199, 217, 243, 249, 271,284, 306, 361," 379"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,"""01.04.2020"," 16 Uhr""", 340,, 9,, 109,,,,,, 1, 2, 4, 5, 5, 9, 10, 14, 32, 47, 61, 74, 97, 121, 140, 140, 148, 166, 184, 207, 223, 241, 241,246, 268, 294," 340"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,"""01.04.2020"," 16 Uhr""", 204, 1, 11,, 78, 1, 1, 1, 1, 3, 5, 7, 7, 7, 8, 8, 17, 23, 23, 36, 36, 37, 37, 46, 68, 77, 77, 77, 106, 118, 123, 146, 163,168, 174, 178," 204"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,"""01.04.2020"," 16 Uhr""", 79, 1, 11,, 46,,,,,,,,,,,, 4, 9, 9, 9, 9, 12, 14, 21, 30, 36, 36, 36, 45, 52, 52, 53, 62,62, 68, 76," 79"
MÃ¼nster,51.954044,7.624747,05515,314319,"""01.04.2020"," 16 Uhr""", 487, 2, 10,, 155, 1, 1, 1, 2, 4, 8, 4, 4, 5, 6, 8, 14, 23, 41, 56, 90, 90, 114, 158, 191, 219, 243, 276, 295, 312, 361, 388, 414,443, 448, 468," 487"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,"""01.04.2020"," 16 Uhr""", 258, 2, 7,, 95,,,, 2, 2, 5, 5, 5, 5, 6, 10, 11, 14, 14, 19, 27, 27, 50, 50, 57, 71, 75, 94, 101, 116, 133, 161, 170,182, 215, 234," 258"
Oberhausen,51.498071,6.862345,05119,210829,"""01.04.2020"," 16 Uhr""", 69,, 12,, 33,,,,,,,,,,, 1, 1, 8, 8, 8, 8, 13, 13, 18, 35, 35, 35, 37, 37, 39, 44, 54, 61,63, 66, 68," 69"
Kreis Olpe,51.026592,7.849124,05966,134775,"""01.04.2020"," 16 Uhr""", 147, 1, 6,, 109,,,,,,,,,,,, 1, 6, 6, 6, 6, 6, 14, 15, 17, 17, 17, 19, 19, 35, 45, 85, 89,102, 127, 127," 147"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,"""01.04.2020"," 16 Uhr""", 275, 4, 7,, 90,,,,,, 1, 1, 2, 2, 2, 6, 6, 18, 32, 36, 37, 45, 56, 59, 71, 75, 78, 92, 98, 105, 139, 152, 152,187, 201, 237," 275"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,"""01.04.2020"," 16 Uhr""", 402, 1, 7,, 65,,,,, 1, 1, 1, 1, 1, 2, 9, 16, 31, 41, 47, 51, 56, 69, 80, 100, 127, 143, 150, 170, 195, 246, 277, 309,322, 331, 369," 402"
Remscheid,51.180907,7.180644,05120,110994,"""01.04.2020"," 16 Uhr""", 67, 1, 7,, 60,,,,,,,, 1, 4, 4, 4, 5, 7, 7, 8, 8, 9, 10, 13, 19, 21, 21, 30, 33, 34, 38, 43, 52,56, 58, 59," 67"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,"""01.04.2020"," 16 Uhr""", 393, 2, 9,, 84,, 1, 1, 1, 2, 2, 2, 2, 2, 3, 6, 10, 13, 24, 36, 58, 82, 90, 106, 124, 154, 181, 180, 199, 244, 258, 276, 296,296, 341, 344," 393"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,"""01.04.2020"," 16 Uhr""", 220, 3, 9,, 78,,,, 2, 3, 3, 3, 4, 9, 11, 12, 18, 28, 29, 30, 52, 52, 60, 60, 81, 81, 95, 108, 135, 137, 141, 162, 163,171, 197, 200," 220"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,"""01.04.2020"," 16 Uhr""", 364, 6, 8,, 81,,,, 1, 1, 1, 1, 1, 1, 1, 5, 8, 15, 15, 15, 24, 50, 50, 50, 85, 96, 119, 140, 153, 194, 225, 266, 282,282, 328, 349," 364"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,"""01.04.2020"," 16 Uhr""", 552, 2, 10,, 92,,,,,, 2, 2, 2, 5, 11, 19, 24, 32, 32, 63, 78, 78, 139, 139, 248, 248, 262, 305, 335, 335, 356, 417, 460,490, 525, 543," 552"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,"""01.04.2020"," 16 Uhr""", 107, 1, 8,, 38,,,,,,,,,,, 1, 1, 10, 10, 10, 15, 15, 26, 29, 29, 29, 39, 47, 51, 60, 61, 79, 79,92, 98, 100," 107"
Kreis Soest,51.568226,8.113109,05974,301902,"""01.04.2020"," 16 Uhr""", 209, 1, 9,, 69,,,,,,,,,,, 1, 3, 9, 9, 9, 15, 15, 39, 49, 57, 57, 73, 93, 110, 121, 135, 153, 153,176, 193, 199," 209"
Solingen,51.176385,7.070708,05122,159360,"""01.04.2020"," 16 Uhr""", 107, 1, 7,, 67,,,,,,,,,, 4, 4, 4, 6, 6, 7, 7, 31, 31, 32, 35, 38, 38, 38, 51, 54, 66, 71, 81,87, 87, 102," 107"
Kreis Steinfurt,52.144456,7.331065,05566,447614,"""01.04.2020"," 16 Uhr""", 453, 3, 9,, 101,,,,,,,, 2, 2, 5, 11, 22, 31, 43, 61, 80, 91, 114, 138, 164, 188, 201, 207, 240, 251, 292, 328, 353,388, 395, 418," 453"
Kreis Unna,51.537065,7.685846,05978,394782,"""01.04.2020"," 16 Uhr""", 235, 3, 8,, 60,, 1, 1, 1, 1, 1, 1, 8, 8, 4, 6, 6, 13, 13, 14, 19, 19, 25, 46, 60, 60, 60, 98, 108, 124, 146, 162, 162,171, 189, 200," 235"
Kreis Viersen,51.254239,6.396321,05166,298935,"""01.04.2020"," 16 Uhr""", 284, 3, 11,, 95, 1, 1, 2, 2, 3, 5, 5, 5, 5, 6, 6, 6, 16, 16, 16, 16, 43, 43, 59, 70, 123, 123, 123, 168, 174, 181, 220, 234,249, 262, 275," 284"
Kreis Warendorf,51.8393825,8.016104,05570,277783,"""01.04.2020"," 16 Uhr""", 314, 2, 12,, 113,,,,,,, 1, 2, 2, 4, 5, 8, 14, 27, 47, 59, 65, 89, 111, 146, 186, 208, 203, 210, 224, 249, 268, 286,289, 297, 308," 314"
Kreis Wesel ,51.664636,6.625631,05170,459809,"""01.04.2020"," 16 Uhr""", 243, 2, 15,, 53, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 12, 19, 19, 19, 36, 116, 116, 132, 132, 124, 124, 132, 146, 162, 178, 193, 198,217, 219, 237," 243"
Wuppertal,51.265292,7.143049,05124,354382,"""01.04.2020"," 16 Uhr""", 238, 4, 7,, 67,,,,,,,,,,,,, 6, 6, 6, 14, 31, 31, 50, 61, 74, 74, 74, 110, 117, 138, 162, 172,185, 186, 197, 238
